[2017-06-02 14:09:25]	 ,----- FRAME: 3213 time: 33.65ms Moving avg: 16.80ms 53 frames since last 
[2017-06-02 14:09:26]	 ,            Graphics_SubmissionIncFrame, 30.01 ms
[2017-06-02 14:09:26]	 ,        Civ6App_Graphics_IncFrame, 30.15 ms
[2017-06-02 14:09:26]	 ,----- FRAME: 3219 time: 31.98ms Moving avg: 16.98ms 7 frames since last 
[2017-06-02 14:09:26]	 ,            Graphics_SubmissionIncFrame, 35.12 ms
[2017-06-02 14:09:26]	 ,        Civ6App_Graphics_IncFrame, 35.35 ms
[2017-06-02 14:09:26]	 ,----- FRAME: 3223 time: 36.95ms Moving avg: 17.10ms 5 frames since last 
[2017-06-02 14:09:27]	 ,            Graphics_SubmissionIncFrame, 33.68 ms
[2017-06-02 14:09:27]	 ,        Civ6App_Graphics_IncFrame, 33.88 ms
[2017-06-02 14:09:27]	 ,----- FRAME: 3284 time: 35.46ms Moving avg: 17.63ms 62 frames since last 
[2017-06-02 14:09:27]	 ,            Graphics_SubmissionIncFrame, 37.85 ms
[2017-06-02 14:09:27]	 ,        Civ6App_Graphics_IncFrame, 38.13 ms
[2017-06-02 14:09:27]	 ,----- FRAME: 3287 time: 39.65ms Moving avg: 17.67ms 4 frames since last 
[2017-06-02 14:09:27]	 ,            Graphics_SubmissionIncFrame, 36.69 ms
[2017-06-02 14:09:27]	 ,        Civ6App_Graphics_IncFrame, 36.79 ms
[2017-06-02 14:09:27]	 ,----- FRAME: 3290 time: 38.75ms Moving avg: 18.41ms 4 frames since last 
[2017-06-02 14:09:27]	 ,            Graphics_SubmissionIncFrame, 37.21 ms
[2017-06-02 14:09:27]	 ,        Civ6App_Graphics_IncFrame, 37.44 ms
[2017-06-02 14:09:27]	 ,----- FRAME: 3295 time: 39.08ms Moving avg: 19.29ms 6 frames since last 
[2017-06-02 14:09:27]	 ,            Graphics_SubmissionIncFrame, 37.06 ms
[2017-06-02 14:09:27]	 ,        Civ6App_Graphics_IncFrame, 37.41 ms
[2017-06-02 14:09:27]	 ,----- FRAME: 3298 time: 38.78ms Moving avg: 19.61ms 4 frames since last 
[2017-06-02 14:09:27]	 ,            Graphics_SubmissionIncFrame, 56.80 ms
[2017-06-02 14:09:27]	 ,        Civ6App_Graphics_IncFrame, 56.96 ms
[2017-06-02 14:09:27]	 ,----- FRAME: 3301 time: 58.57ms Moving avg: 20.18ms 4 frames since last 
[2017-06-02 14:09:27]	 ,            Graphics_SubmissionIncFrame, 43.67 ms
[2017-06-02 14:09:27]	 ,        Civ6App_Graphics_IncFrame, 43.91 ms
[2017-06-02 14:09:27]	 ,----- FRAME: 3302 time: 48.55ms Moving avg: 20.65ms 2 frames since last 
